DEPARTMENTID,DepartmentName
272,HSP_SIGNATURE HEALTHCARE OF PUTNAM COUNTY
273,HSP_NHC HEALTHCARE COOKEVILLE SNF
274,HSP_NEWPORT MEDICAL CENTER
275,HSP_ROANE MEDICAL CENTER
276,DI_ANC SVCS MARYVILLE FAMILY MEDICINE
277,HSP_COOKEVILLE REGIONAL MEDICAL CENTER-OP
278,PC_HERMITAGE PRIMARY CARE a division of SMG
279,DI_ANC SVCS GRACE PRIMARY HUNTSVILLE
280,PED_BRENTWOOD CHILDRENS CLINIC
281,DI_ANC SVCS CAMPBELL CO
282,PT_SMG PT MORRISTOWN
283,DI_ANC SVCS NEWPORT
284,DI_ANC SVCS MORRISTOWN
